                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3119,                 3.5054,                 2.3611,                      0,                      0,                      0,                      0,                 2.3759,                 3.8725,                 2.3968,             0.00051677,             0.00051677,             0.00051677
                      1,                 2.1552,                 3.0833,                 2.1472,                   0.05,                0.01282,                0.02618,                0.00262,                  2.697,                 4.0091,                 2.7554,              0.0010398,              0.0010398,              0.0010398
                      2,                 2.2318,                 2.9558,                   2.17,                0.01286,                0.01282,                0.00675,                0.00068,                 2.8962,                 3.8479,                 3.1038,              0.0015523,              0.0015523,              0.0015523
                      3,                 2.2401,                 2.9014,                 2.2069,                0.12155,                0.15385,                0.09581,                0.02392,                 2.6809,                 6.0434,                 2.9156,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.2221,                 2.7649,                 2.1582,                0.12202,                0.26068,                0.10743,                0.02703,                 2.7415,                 5.4972,                 2.7593,              0.0016175,              0.0016175,              0.0016175
                      5,                  2.194,                 2.6574,                 2.1051,                0.27249,                0.28158,                0.21849,                0.08201,                 2.7001,                 3.5419,                 2.5898,               0.001601,               0.001601,               0.001601
                      6,                 2.2249,                  2.625,                 2.1049,                0.06618,                0.11538,                 0.0457,                0.01844,                 2.4835,                 3.4786,                 2.5279,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.1349,                 2.5535,                 2.0636,                0.24697,                0.24929,                0.21869,                0.08916,                 2.5816,                 3.2957,                 2.6167,               0.001568,               0.001568,               0.001568
                      8,                 2.0776,                 2.4285,                 1.9895,                0.22059,                0.19231,                  0.187,                0.09251,                 2.4706,                 3.2292,                 2.4934,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.1209,                   2.44,                 2.0289,                0.63235,                0.19691,                0.27318,                0.13409,                 2.5524,                 3.3256,                 2.5322,               0.001535,               0.001535,               0.001535
                     10,                 2.0893,                 2.4164,                 2.0156,                0.72321,                0.10256,                0.38515,                0.06539,                 2.5084,                 3.0378,                  2.527,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.0755,                 2.3808,                 1.9932,                0.49753,                0.23647,                0.33097,                0.10415,                 2.3902,                 3.6806,                 2.3419,               0.001502,               0.001502,               0.001502
                     12,                 2.0712,                 2.3283,                  1.985,                0.29286,                0.12821,                0.18812,                0.06274,                 2.4277,                 2.8351,                 2.2647,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.0866,                 2.3085,                 1.9742,                0.63692,                0.19127,                0.38099,                0.18695,                 2.3118,                 2.8403,                 2.3212,               0.001469,               0.001469,               0.001469
                     14,                 2.0217,                 2.3256,                 1.9742,                0.19048,                0.10256,                0.12614,                0.05207,                 2.4748,                 2.8616,                   2.45,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0334,                 2.3162,                 1.9922,                0.40196,                0.21747,                0.31983,                0.10436,                 2.5173,                 2.8044,                 2.4848,               0.001436,               0.001436,               0.001436
                     16,                 2.0598,                 2.3078,                      2,                0.64922,                0.28727,                0.47154,                0.14627,                 2.3379,                 2.7637,                 2.4141,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.0399,                 2.3307,                 2.0137,                0.33556,                0.23504,                0.28574,                0.13019,                 2.4909,                 2.9894,                 2.4119,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.0122,                 2.2633,                 1.9442,                0.40074,                0.24881,                0.32973,                0.13663,                  2.357,                 2.6327,                 2.2862,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.0144,                 2.2296,                 1.9511,                0.55592,                0.23618,                0.41316,                0.19335,                 2.3796,                 2.6662,                 2.3295,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.9643,                 2.1451,                 1.9164,                0.47619,                0.16524,                0.31378,                0.12981,                 2.3192,                 2.5943,                 2.2107,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.9479,                 2.1386,                 1.8769,                0.42414,                0.26543,                0.30054,                 0.1184,                 2.3651,                 2.6267,                 2.2845,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.9787,                 2.1714,                 1.9265,                0.68182,                 0.2113,                0.44107,                0.15191,                 2.3776,                 2.5933,                 2.3409,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.9657,                 2.1962,                 1.9287,                0.66561,                0.24103,                0.34153,                0.12172,                 2.2598,                 2.7202,                  2.219,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.968,                  2.173,                 1.9196,                0.67797,                 0.2754,                0.47568,                0.19023,                 2.3845,                 2.5575,                 2.3189,              0.0012874,              0.0012874,              0.0012874
