                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5046,                  4.233,                 2.5205,                0.00171,                0.22934,                0.00124,                0.00031,                 2.8758,                    nan,                 3.1178,             0.00026672,             0.00026672,             0.00026672
                      1,                 2.4335,                 3.2231,                 2.3378,                0.00171,                0.22934,                0.00124,                0.00031,                    nan,                    nan,                    nan,             0.00054648,             0.00054648,             0.00054648
                      2,                  2.462,                 3.0193,                  2.351,                0.00171,                0.22934,                0.00124,                0.00031,                    nan,                    nan,                    nan,              0.0008225,              0.0008225,              0.0008225
                      3,                 2.3912,                 2.9004,                 2.3298,                  8e-05,                0.01235,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0010948,              0.0010948,              0.0010948
                      4,                 2.3899,                 2.8603,                 2.2898,                0.00117,                0.13438,                 0.0005,                0.00012,                 4.1763,                    inf,                  15.23,              0.0013633,              0.0013633,              0.0013633
                      5,                 2.3906,                 2.8822,                 2.3537,                0.00117,                0.13438,                 0.0005,                0.00012,                    nan,                    nan,                    nan,               0.001612,               0.001612,               0.001612
                      6,                 2.4422,                 2.9257,                  2.371,                0.00117,                0.13438,                 0.0005,                0.00012,                    nan,                    nan,                    nan,               0.001612,               0.001612,               0.001612
                      7,                 2.3687,                 2.8292,                 2.2587,                0.00091,                0.30769,                 0.0007,                0.00023,                  3.993,                    inf,                  8.939,               0.001601,               0.001601,               0.001601
                      8,                 2.3895,                 2.7732,                 2.2452,                0.50122,                0.11538,                 0.0007,                0.00016,                 3.8441,                 25.387,                 3.7342,                0.00159,                0.00159,                0.00159
                      9,                 2.3356,                 2.7388,                 2.2405,                0.03095,                 0.0812,                0.01404,                0.00471,                 2.9223,                  11.42,                 3.0032,               0.001579,               0.001579,               0.001579
                     10,                 2.3283,                 2.7983,                 2.2073,                0.02606,                0.22982,                 0.0108,                0.00243,                 3.1882,                 40.845,                 3.3897,               0.001568,               0.001568,               0.001568
                     11,                 2.2644,                 2.6656,                 2.1571,                0.53846,                0.08974,                0.03208,                0.00922,                 2.9715,                 7.6915,                 3.2847,               0.001557,               0.001557,               0.001557
                     12,                 2.2999,                 2.6939,                 2.1996,                0.53637,                0.19231,                0.03204,                0.00811,                 2.8711,                 6.5161,                 2.9828,               0.001546,               0.001546,               0.001546
                     13,                 2.2622,                 2.5746,                 2.1725,                0.55512,                0.16667,                0.04583,                0.01305,                 2.6868,                 6.4669,                 2.8664,               0.001535,               0.001535,               0.001535
                     14,                 2.1963,                 2.5657,                 2.1536,                0.21606,                0.16619,                0.12073,                0.03787,                 2.8051,                 4.8575,                 2.8711,               0.001524,               0.001524,               0.001524
                     15,                 2.2322,                 2.5624,                 2.1744,                0.07562,                0.35755,                0.06674,                0.01516,                  2.589,                 5.0827,                 2.7427,               0.001513,               0.001513,               0.001513
                     16,                 2.1576,                  2.449,                 2.0895,                0.15153,                0.33143,                0.14609,                0.05194,                 2.5008,                 4.1553,                 2.5978,               0.001502,               0.001502,               0.001502
                     17,                 2.2164,                  2.557,                 2.1528,                0.62196,                0.21795,                0.09831,                  0.031,                 2.6275,                 3.6134,                 2.7119,               0.001491,               0.001491,               0.001491
                     18,                 2.2026,                 2.4325,                 2.1154,                0.19918,                0.32431,                0.13467,                0.03508,                 2.4922,                 3.5861,                 2.5444,                0.00148,                0.00148,                0.00148
                     19,                 2.1482,                 2.4186,                 2.1064,                0.61424,                0.16667,                0.09222,                0.02203,                 2.5659,                 3.6894,                 2.5939,               0.001469,               0.001469,               0.001469
                     20,                 2.1368,                  2.414,                 2.0556,                0.27695,                0.18329,                0.16277,                0.03852,                 2.6287,                 4.2202,                 2.6211,               0.001458,               0.001458,               0.001458
                     21,                 2.1261,                 2.4307,                 2.0648,                 0.1692,                0.24169,                0.13313,                0.04445,                 2.5092,                 3.0112,                 2.5131,               0.001447,               0.001447,               0.001447
                     22,                 2.1309,                 2.4531,                 2.0644,                0.16162,                0.27398,                0.11773,                0.03833,                 2.5642,                  3.321,                 2.6129,               0.001436,               0.001436,               0.001436
                     23,                 2.1143,                 2.4194,                 2.0648,                0.17489,                0.26068,                0.16146,                0.05321,                 2.4647,                 3.3731,                 2.4212,               0.001425,               0.001425,               0.001425
                     24,                 2.1072,                 2.4159,                 2.0759,                0.21797,                0.33266,                0.19762,                0.07641,                 2.4441,                 2.9994,                 2.4436,              0.0014139,              0.0014139,              0.0014139
                     25,                 2.0901,                 2.3332,                 2.0296,                0.20765,                0.26068,                0.13024,                0.04338,                 2.5129,                 3.5211,                 2.5721,              0.0014029,              0.0014029,              0.0014029
                     26,                 2.0845,                 2.3538,                 2.0255,                0.15539,                0.35385,                0.13121,                0.04537,                 2.4388,                 3.7807,                  2.459,              0.0013919,              0.0013919,              0.0013919
                     27,                 2.0621,                 2.3716,                 2.0609,                0.29582,                0.31244,                0.20342,                0.05719,                 2.5258,                 3.5974,                 2.5588,              0.0013809,              0.0013809,              0.0013809
                     28,                 2.0681,                 2.3885,                 2.0503,                 0.7865,                0.17949,                0.19528,                0.05167,                 2.4378,                 3.3261,                 2.4683,              0.0013699,              0.0013699,              0.0013699
                     29,                 2.0413,                 2.2798,                 1.9897,                0.22501,                0.34995,                0.15444,                0.04387,                 2.5328,                 3.1196,                 2.6343,              0.0013589,              0.0013589,              0.0013589
                     30,                 2.0941,                 2.2819,                 2.0113,                0.22979,                0.32289,                0.17345,                0.05693,                 2.4552,                 3.0465,                 2.3717,              0.0013479,              0.0013479,              0.0013479
                     31,                 2.0541,                  2.262,                 1.9791,                0.24371,                0.26021,                0.12673,                0.03766,                 2.6289,                 3.0705,                 2.4293,              0.0013369,              0.0013369,              0.0013369
                     32,                 2.0385,                 2.2536,                 2.0024,                0.24284,                0.36277,                0.14057,                0.04889,                 2.4378,                 2.8052,                 2.4947,              0.0013259,              0.0013259,              0.0013259
                     33,                 2.0329,                 2.2837,                 1.9886,                 0.1805,                0.31814,                0.20971,                0.06932,                 2.3766,                 2.6699,                 2.4279,              0.0013149,              0.0013149,              0.0013149
                     34,                  1.977,                 2.2466,                 1.9787,                0.21637,                0.24358,                 0.1854,                0.06023,                 2.3859,                 2.7742,                 2.4619,              0.0013039,              0.0013039,              0.0013039
                     35,                   2.01,                 2.2236,                 2.0071,                0.23354,                0.32431,                 0.1845,                0.06139,                 2.4075,                 3.0658,                 2.5051,              0.0012929,              0.0012929,              0.0012929
                     36,                 2.0035,                 2.2631,                 1.9969,                0.44995,                0.24264,                 0.3044,                0.10489,                 2.3175,                  2.623,                 2.2744,              0.0012819,              0.0012819,              0.0012819
                     37,                 2.0101,                 2.1877,                 1.9597,                0.25826,                0.31719,                0.24714,                0.07644,                 2.4015,                 2.6674,                 2.2985,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.9948,                 2.1522,                 1.9516,                0.20883,                0.33808,                0.15151,                0.05046,                  2.342,                 2.8604,                 2.3314,              0.0012599,              0.0012599,              0.0012599
