                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9892,                 2.0969,                 1.9413,                0.21894,                0.31007,                 0.2073,                0.08018,                 2.3292,                 2.8768,                 2.3384,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.9132,                 1.9925,                 1.9077,                0.29052,                 0.2982,                0.21292,                0.06601,                 2.3555,                 2.5928,                 2.3921,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.903,                  2.003,                 1.9222,                0.31904,                0.35565,                0.23622,                0.07696,                 2.3467,                  2.609,                  2.399,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.8777,                 1.9862,                 1.8915,                0.23962,                0.36683,                0.26865,                0.10765,                 2.2491,                 2.4889,                 2.3381,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.887,                 2.0113,                 1.8818,                 0.3044,                0.33001,                 0.2331,                0.06102,                 2.4405,                 2.8949,                 2.3972,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.8328,                 1.8857,                 1.8341,                0.33627,                0.27063,                0.15995,                0.04475,                 2.4007,                 2.6358,                 2.2783,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.8595,                  1.943,                 1.8737,                0.59884,                0.25499,                0.30609,                0.10913,                 2.2505,                 2.3049,                 2.2109,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.8815,                 1.9117,                 1.8454,                0.40794,                0.30262,                0.28457,                0.10017,                 2.3439,                 2.5035,                 2.2878,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8172,                 1.8685,                 1.8367,                0.55671,                0.21083,                0.20201,                0.05891,                 2.4392,                 2.7474,                 2.4812,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.8367,                 1.9067,                 1.8403,                0.35616,                0.28775,                0.22011,                0.07811,                 2.2974,                 2.8022,                 2.3232,             0.00097386,             0.00097386,             0.00097386
