                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0345,                 2.1473,                 1.8447,                0.42106,                0.30641,                0.16992,                0.06216,                 2.5017,                 2.7772,                 2.2002,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.9606,                 2.0978,                 1.8341,                0.31055,                0.36254,                0.25324,                0.07714,                 2.3601,                  2.709,                 2.2412,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.0046,                 2.0771,                 1.8552,                0.20992,                0.33571,                0.15466,                0.05781,                 2.4007,                 2.5756,                 2.2259,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.9492,                  2.049,                 1.8031,                0.27452,                0.32336,                0.22647,                0.07729,                 2.4505,                 2.6771,                 2.2073,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.9856,                 2.0726,                 1.8419,                0.31839,                0.28222,                0.26735,                0.08691,                 2.3983,                 2.5576,                 2.2408,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.9642,                 2.0621,                  1.817,                0.24245,                0.39316,                0.21659,                0.06312,                 2.4492,                 2.6622,                 2.1713,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.9692,                 2.0188,                 1.8154,                0.34572,                0.23504,                 0.1955,                0.06995,                 2.4174,                 2.4988,                 2.1489,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.9379,                 1.9928,                  1.784,                0.33623,                0.34385,                0.29735,                0.11104,                 2.3334,                  2.425,                 2.1419,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.9693,                 2.0344,                 1.8047,                0.26312,                0.36705,                0.23142,                0.08464,                 2.4272,                 2.5548,                 2.2724,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.9487,                 2.0325,                 1.8109,                 0.2917,                0.38082,                 0.3434,                0.13066,                 2.3485,                 2.4322,                 2.1747,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.9099,                 1.9862,                 1.7571,                0.31996,                0.33001,                0.25096,                0.08625,                 2.3378,                 2.5448,                 2.1397,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.9034,                 1.9518,                 1.7662,                0.24534,                0.33713,                0.25786,                0.09361,                 2.4025,                 2.7245,                 2.2199,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.8958,                 1.9497,                 1.7794,                0.27277,                0.31493,                0.20801,                0.06953,                 2.4396,                 2.6717,                 2.1939,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.9027,                 1.9272,                 1.7485,                0.21116,                0.36135,                0.23443,                0.08382,                 2.3952,                 2.5842,                 2.1807,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.8915,                 1.9045,                 1.7454,                 0.3172,                0.29867,                0.18186,                0.05554,                 2.4189,                 2.7939,                 2.2403,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.8615,                 1.9374,                 1.7467,                0.43869,                0.31569,                0.27933,                0.10138,                 2.3444,                 2.3608,                 2.1639,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.8964,                 1.9076,                  1.757,                 0.2909,                0.32336,                0.24301,                 0.0868,                 2.3498,                 2.4889,                 2.2133,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.8708,                 1.9208,                 1.7377,                0.20981,                0.34616,                0.17609,                0.05611,                 2.4199,                 2.5392,                 2.1903,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.8669,                 1.8218,                 1.7437,                0.25359,                0.38557,                0.22597,                0.09204,                 2.3296,                 2.3636,                 2.1448,             0.00082533,             0.00082533,             0.00082533
                     53,                  1.887,                 1.8931,                 1.7607,                0.24336,                0.33759,                0.23848,                0.08571,                 2.4152,                 2.4448,                 2.2606,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.8116,                 1.8385,                 1.7382,                0.26119,                0.37228,                0.26717,                0.10709,                 2.4752,                 2.4699,                 2.2344,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.8276,                 1.8553,                 1.7396,                0.25976,                0.38651,                0.26296,                0.10039,                 2.4144,                 2.4893,                  2.244,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.8033,                 1.8087,                 1.7242,                0.27847,                0.41785,                0.27353,                0.10239,                 2.4202,                 2.4735,                 2.2668,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.7679,                 1.7882,                 1.7046,                 0.3076,                  0.368,                0.25452,                0.08577,                 2.4033,                 2.5205,                 2.2953,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.7659,                 1.7179,                 1.6594,                0.26337,                0.39221,                0.26527,                 0.0942,                 2.3696,                 2.4325,                 2.2338,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.7478,                 1.7107,                 1.6684,                 0.2354,                  0.377,                0.23466,                0.07297,                 2.4538,                 2.4955,                 2.2269,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.7896,                 1.7684,                 1.6877,                 0.3618,                0.36657,                0.24755,                0.08315,                 2.3158,                 2.4329,                 2.1517,             0.00069331,             0.00069331,             0.00069331
                     61,                  1.782,                 1.7514,                 1.6921,                0.26721,                0.44724,                0.30738,                0.10868,                 2.4205,                 2.3926,                  2.234,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.7532,                 1.7514,                 1.6641,                0.27678,                0.34948,                0.24201,                0.08757,                 2.3816,                 2.5001,                 2.3175,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.7816,                 1.7416,                 1.6869,                0.35812,                0.34137,                0.28141,                0.11165,                 2.4209,                 2.3866,                 2.1954,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.7738,                 1.7444,                 1.6626,                0.18804,                0.34093,                0.17001,                0.05718,                 2.4943,                 2.4989,                  2.302,             0.00062729,             0.00062729,             0.00062729
                     65,                  1.718,                 1.7014,                 1.6571,                0.23437,                  0.368,                0.18276,                0.05549,                 2.4648,                 2.5875,                 2.2259,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.7277,                 1.7091,                 1.6618,                0.25775,                0.31149,                0.22706,                 0.0839,                 2.3765,                 2.4969,                 2.2171,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.7513,                 1.6912,                 1.6483,                 0.2757,                0.39839,                0.28841,                0.08597,                  2.471,                 2.4388,                 2.2805,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.6567,                 1.6132,                 1.5922,                0.29829,                0.44302,                0.25392,                0.08835,                 2.3839,                 2.3608,                 2.2251,             0.00056128,             0.00056128,             0.00056128
                     69,                   1.73,                 1.6317,                 1.6292,                0.29577,                0.39791,                0.24851,                0.08467,                 2.3875,                 2.3611,                 2.2655,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.6538,                 1.6114,                 1.6348,                0.25493,                0.44207,                 0.3086,                0.09706,                 2.3959,                 2.3111,                 2.2323,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.6665,                 1.5882,                 1.6268,                0.30997,                0.41916,                 0.3049,                0.10793,                 2.3761,                 2.3421,                 2.2205,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.6496,                  1.555,                 1.5974,                0.33392,                0.44302,                0.29782,                0.10883,                 2.4602,                  2.359,                 2.3094,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.6258,                 1.5687,                 1.5842,                 0.3555,                0.41643,                0.32316,                0.10303,                 2.4789,                 2.3727,                 2.3681,             0.00047876,             0.00047876,             0.00047876
