                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8526,                 2.2471,                 2.2149,                0.27496,                0.19231,                0.19266,                0.05294,                 2.3598,                 2.7712,                 2.6343,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.8972,                 2.2987,                 2.2046,                0.62766,                0.16619,                0.36819,                0.14314,                 2.3047,                 2.7375,                 2.5331,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.909,                 2.2374,                 2.2093,                0.64641,                0.16667,                0.35796,                0.19112,                 2.2759,                 2.9974,                 2.5723,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.8873,                 2.2108,                 2.1793,                0.52356,                0.29915,                0.41656,                0.11896,                 2.4348,                 2.7104,                 2.6381,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.8481,                  2.181,                 2.1559,                0.43862,                0.24786,                0.30624,                0.09983,                 2.3579,                 2.7346,                 2.5968,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.8188,                 2.2039,                 2.1487,                0.13235,                0.11538,                 0.0926,                0.03407,                 2.4067,                 2.9249,                 2.7213,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.8428,                  2.151,                 2.1587,                0.66279,                0.18566,                0.38863,                0.11606,                 2.3628,                  2.898,                 2.6898,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.8041,                  2.108,                 2.1399,                0.50526,                0.17854,                0.29473,                0.08591,                 2.2908,                 2.7186,                 2.5935,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8439,                 2.1484,                 2.1526,                0.39444,                0.17284,                 0.2406,                0.05318,                 2.3877,                 2.8066,                 2.6835,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.8135,                 2.1366,                 2.1373,                0.38301,                0.27445,                0.28836,                0.09711,                 2.1981,                  2.781,                  2.546,             0.00097386,             0.00097386,             0.00097386
                     44,                  1.789,                 2.0469,                 2.0814,                0.32963,                0.22887,                0.25059,                0.08424,                 2.3242,                 2.6438,                 2.5739,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.7825,                 2.0365,                 2.0876,                0.36768,                0.22982,                0.26568,                0.08704,                 2.3012,                 2.7158,                  2.567,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.8196,                 2.0525,                 2.1201,                0.46992,                0.20418,                0.34413,                0.11107,                 2.4919,                 2.8374,                 2.7536,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.7557,                  1.971,                 2.0892,                0.39382,                0.25451,                0.28278,                0.07947,                 2.4147,                 2.8922,                 2.6677,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.7718,                 2.0179,                 2.0991,                0.47866,                0.23647,                   0.33,                0.08299,                 2.4151,                   2.85,                 2.6797,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.7627,                 1.9809,                 2.0778,                0.43495,                0.18471,                0.27175,                0.08778,                 2.3314,                 2.6917,                 2.5564,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.7349,                 1.9297,                  2.042,                0.37043,                0.29202,                0.26768,                0.08505,                 2.4309,                 2.8591,                  2.662,             0.00085834,             0.00085834,             0.00085834
                     51,                  1.718,                 1.9475,                 2.0448,                0.38095,                0.30484,                0.29357,                0.10583,                 2.3584,                  2.666,                 2.5878,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.7225,                 1.9028,                 2.0364,                0.44318,                0.24834,                0.29345,                0.10133,                 2.3573,                 2.7499,                 2.6757,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.7511,                 1.9118,                 2.0755,                0.38766,                  0.368,                0.31638,                 0.0968,                 2.3445,                 2.5488,                  2.602,             0.00080883,             0.00080883,             0.00080883
                     54,                  1.718,                 1.9221,                 2.0492,                0.41317,                0.31814,                0.28986,                 0.0889,                 2.4318,                 2.7981,                 2.7353,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.7053,                 1.8731,                 2.0471,                0.34132,                 0.3142,                0.26049,                0.08293,                 2.4327,                 2.7793,                 2.7209,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.6918,                 1.8421,                 2.0212,                0.43186,                0.27303,                 0.3299,                0.10991,                 2.3421,                 2.6505,                 2.6541,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6888,                 1.8255,                 2.0358,                0.41127,                0.31149,                0.33092,                0.10744,                 2.3682,                   2.67,                 2.7286,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.6646,                 1.8061,                 2.0098,                0.41785,                0.31149,                0.30742,                0.10227,                 2.4053,                 2.7025,                 2.6727,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.6667,                 1.7891,                 2.0229,                0.35974,                 0.2792,                0.26344,                0.10263,                 2.4335,                 2.7092,                 2.7018,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.6719,                 1.8458,                 2.0266,                0.30476,                0.33666,                0.27323,                0.09269,                 2.4479,                 2.6282,                 2.7189,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.6396,                 1.7577,                 1.9748,                0.36128,                 0.3029,                0.27494,                 0.0936,                 2.5175,                 2.5539,                 2.8017,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.6472,                 1.7356,                 1.9771,                0.29508,                0.31719,                 0.2532,                0.08173,                 2.4405,                 2.7246,                 2.7213,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.6472,                  1.773,                 2.0023,                 0.3818,                0.34236,                 0.3352,                0.10574,                  2.391,                  2.625,                 2.7243,              0.0006438,              0.0006438,              0.0006438
                     64,                  1.581,                  1.686,                 1.9456,                0.35982,                0.31102,                0.26622,                0.09095,                 2.3989,                 2.7307,                 2.7257,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.5853,                 1.6784,                 1.9609,                0.33984,                0.25973,                0.25117,                0.09776,                 2.3989,                 2.7662,                 2.7166,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.5719,                 1.6852,                  1.942,                0.39781,                0.35518,                0.32372,                0.11301,                 2.4462,                 2.7075,                 2.7533,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.5892,                 1.6299,                 1.9138,                0.36775,                0.34141,                0.30266,                0.10104,                 2.4058,                 2.5347,                 2.7234,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.5747,                 1.6594,                 1.9044,                0.32395,                  0.349,                0.26323,                0.07874,                 2.4577,                 2.5672,                 2.6795,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.5542,                 1.6543,                 1.9191,                0.32889,                0.30389,                0.29883,                0.10713,                 2.4276,                 2.6453,                 2.7299,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.5887,                  1.646,                 1.9065,                0.33712,                0.29155,                0.28761,                0.09327,                 2.4256,                 2.6237,                 2.8069,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.5442,                 1.6011,                 1.8681,                0.26954,                0.30389,                0.21869,                0.08025,                 2.5306,                 2.7435,                 2.8889,             0.00051177,             0.00051177,             0.00051177
                     72,                   1.56,                 1.6361,                 1.9166,                0.42584,                0.32431,                0.32641,                0.10789,                  2.544,                 2.6143,                 2.8751,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.5248,                 1.5474,                  1.868,                0.33527,                0.39174,                0.32438,                0.10498,                 2.5233,                 2.5757,                 2.8604,             0.00047876,             0.00047876,             0.00047876
                     74,                  1.565,                 1.6139,                 1.9216,                0.41054,                0.32384,                0.34687,                 0.1048,                 2.4728,                 2.6877,                 2.8315,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.5143,                 1.4921,                 1.8559,                 0.3408,                0.35375,                0.30291,                 0.0959,                 2.5182,                 2.6515,                 2.8658,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.5156,                 1.5029,                 1.8591,                0.38267,                0.41168,                0.31057,                0.09986,                 2.4902,                 2.6542,                  2.897,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.4669,                 1.4187,                 1.8198,                0.29608,                0.39174,                0.30682,                0.11095,                 2.5006,                 2.7095,                 2.9029,             0.00041275,             0.00041275,             0.00041275
                     78,                  1.453,                 1.4453,                 1.8263,                0.38727,                0.29772,                0.29774,                0.09837,                 2.5161,                 2.8429,                   2.83,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.4668,                 1.4785,                 1.8108,                0.31133,                 0.3547,                0.26029,                0.08308,                 2.5706,                 2.8102,                 2.9392,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.4587,                 1.4573,                  1.802,                0.35319,                0.39316,                0.33837,                0.11744,                 2.5134,                 2.6218,                 2.8776,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.4247,                 1.3736,                  1.779,                0.34559,                0.41121,                0.33314,                0.11085,                 2.5079,                 2.6381,                 2.8683,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.4729,                 1.4231,                 1.8317,                0.28528,                0.24552,                 0.2331,                0.08547,                 2.4638,                 2.8486,                 2.8159,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.4391,                 1.4084,                 1.7974,                0.42798,                0.34141,                0.30452,                0.10005,                 2.5015,                 2.6361,                  2.861,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.4273,                 1.4277,                   1.78,                0.40879,                0.33523,                0.30946,                0.10619,                 2.5109,                 2.7149,                 2.8854,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.3785,                 1.3426,                   1.74,                0.39595,                0.32241,                0.26306,                0.08067,                 2.6351,                 2.7157,                 2.9872,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.3907,                 1.3707,                 1.7441,                0.36031,                0.37369,                0.29079,                0.09592,                 2.5667,                 2.7984,                 2.9335,             0.00026422,             0.00026422,             0.00026422
