                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3119,                 3.5054,                 2.3611,                      0,                      0,                      0,                      0,                 2.3759,                 3.8725,                 2.3968,             0.00051677,             0.00051677,             0.00051677
                      1,                 2.1384,                 3.0741,                 2.1428,                      0,                      0,                      0,                      0,                 2.6804,                 3.8438,                 2.7548,              0.0010418,              0.0010418,              0.0010418
                      2,                 2.2515,                 2.9774,                 2.1711,                      0,                      0,                      0,                      0,                 2.6515,                 4.0634,                 3.0588,              0.0015583,              0.0015583,              0.0015583
                      3,                 2.2445,                  2.887,                 2.1862,                0.55974,                0.21795,                0.06205,                0.01754,                 2.6449,                 8.1966,                 3.2147,               0.001627,               0.001627,               0.001627
                      4,                 2.2295,                 2.7782,                 2.1565,                0.81848,                0.13515,                0.19369,                0.07114,                 2.5706,                 3.8099,                 2.5893,               0.001627,               0.001627,               0.001627
                      5,                 2.2172,                 2.6953,                 2.1173,                0.03448,                0.05128,                0.02091,                0.00542,                 2.7526,                 4.2485,                 2.9022,              0.0016137,              0.0016137,              0.0016137
                      6,                  2.217,                 2.6449,                 2.1305,                0.15909,                0.17949,                 0.1485,                0.06618,                  2.442,                 3.5385,                   2.46,              0.0016003,              0.0016003,              0.0016003
                      7,                 2.1277,                 2.5795,                 2.1003,                0.27778,                 0.0641,                0.16436,                0.05333,                 2.6129,                 3.7469,                 2.7313,               0.001587,               0.001587,               0.001587
                      8,                 2.1146,                  2.466,                 2.0888,                    0.5,                0.02564,                0.26282,                0.10634,                 2.4682,                 3.2669,                 2.4064,              0.0015736,              0.0015736,              0.0015736
                      9,                 2.1449,                  2.441,                 2.0703,                    0.5,                0.02564,                0.26282,                0.10634,                 2.5452,                 3.2108,                 2.4735,              0.0015603,              0.0015603,              0.0015603
