                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8246,                 1.9449,                 1.8432,                 0.3559,                 0.3623,                0.31965,                0.12375,                 2.1612,                 2.8219,                 2.1606,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.8436,                  1.891,                 1.7921,                0.59118,                0.19136,                0.39932,                0.19717,                 2.2379,                 2.6311,                 2.2754,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.7654,                 1.8167,                 1.7457,                0.42708,                0.23504,                0.33583,                0.14278,                 2.4624,                 2.5224,                   2.36,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.7806,                 1.8373,                 1.7912,                  0.439,                0.19041,                0.33041,                0.13272,                 2.3957,                  2.556,                 2.3512,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7943,                 1.8087,                 1.7739,                0.45909,                0.23504,                0.35082,                0.15818,                 2.3066,                 2.4893,                 2.1773,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.7471,                  1.739,                 1.7489,                0.38063,                0.17236,                 0.2757,                0.11149,                 2.3872,                 2.6022,                 2.2496,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7816,                 1.8265,                 1.7569,                0.20616,                0.17284,                0.20971,                0.09597,                 2.3845,                 2.7847,                  2.327,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.7626,                 1.7488,                 1.7495,                0.41843,                0.27398,                0.36412,                0.11913,                  2.306,                 2.4947,                 2.2764,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.7361,                 1.7059,                 1.7367,                  0.375,                0.22317,                0.30411,                0.12261,                 2.4864,                 2.7556,                 2.4309,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.7153,                 1.6728,                 1.7068,                0.35055,                0.28443,                0.29759,                0.10589,                 2.3775,                 2.4394,                 2.2551,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.7386,                 1.6639,                 1.7009,                0.42806,                0.28538,                0.34963,                0.14154,                 2.3521,                 2.4018,                 2.2795,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.7159,                 1.6384,                 1.6998,                0.37581,                0.31719,                0.34493,                0.14336,                 2.3968,                 2.3773,                 2.2454,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.691,                 1.6085,                 1.6831,                0.32143,                0.28632,                0.27956,                0.12326,                 2.4476,                 2.4022,                 2.2661,             0.00092435,             0.00092435,             0.00092435
                     47,                  1.631,                 1.5619,                  1.645,                 0.3184,                0.37369,                0.29481,                0.09875,                 2.3569,                 2.3821,                 2.2037,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.6465,                 1.5309,                 1.6229,                0.46007,                0.37417,                0.41492,                 0.1506,                 2.3572,                 2.5036,                 2.2307,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.6679,                  1.605,                 1.6597,                0.63307,                0.31244,                0.48451,                0.18235,                 2.3551,                 2.5055,                  2.208,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.645,                 1.5657,                 1.6569,                0.31151,                0.31814,                0.27951,                0.11273,                  2.368,                 2.4781,                 2.3123,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.6383,                 1.5593,                 1.6508,                0.33741,                 0.2735,                 0.3377,                 0.1401,                 2.5016,                 2.4945,                  2.452,             0.00084184,             0.00084184,             0.00084184
