                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5233,                  4.049,                 2.4336,                0.00093,                0.16049,                 0.0006,                0.00017,                    nan,                    nan,                    nan,             0.00040008,             0.00040008,             0.00040008
                      1,                 2.5238,                 3.2206,                 2.4137,                0.00032,                0.10256,                0.00015,                  3e-05,                    nan,                    nan,                    nan,             0.00081279,             0.00081279,             0.00081279
                      2,                   2.53,                 3.1176,                 2.4648,                0.00032,                0.10256,                0.00015,                  3e-05,                    nan,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                      3,                 2.5259,                 3.1564,                 2.4504,                0.00032,                0.10256,                0.00015,                  3e-05,                 4.1741,                    inf,                 116.48,              0.0016258,              0.0016258,              0.0016258
                      4,                 2.4852,                 3.1093,                 2.3822,                0.00032,                0.10256,                0.00015,                  3e-05,                    nan,                    nan,                    nan,               0.001634,               0.001634,               0.001634
                      5,                 2.4626,                 3.0189,                 2.3787,                  0.001,                0.01282,                0.00051,                0.00014,                    nan,                    nan,                    nan,               0.001634,               0.001634,               0.001634
                      6,                 2.4478,                 2.9632,                 2.3727,                  0.001,                0.01282,                0.00051,                0.00014,                      0,                 2.8477,                      0,              0.0016257,              0.0016257,              0.0016257
                      7,                 2.4256,                 2.8559,                  2.323,                0.01004,                0.02517,                0.00352,                0.00089,                 3.5491,                 5.8917,                 3.6895,              0.0016175,              0.0016175,              0.0016175
                      8,                 2.4192,                 2.8207,                 2.2926,                0.02136,                0.32479,                 0.0097,                0.00247,                 2.8977,                 19.078,                 2.9895,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.3242,                 2.7702,                 2.2168,                0.00298,                0.52612,                0.01772,                0.00444,                 3.1554,                 12.165,                 3.3085,               0.001601,               0.001601,               0.001601
                     10,                 2.2786,                 2.7784,                 2.2287,                0.16695,                0.22317,                 0.0972,                0.02088,                 2.7577,                 4.8166,                 2.8197,              0.0015927,              0.0015927,              0.0015927
                     11,                 2.2842,                 2.6461,                 2.1595,                0.11001,                0.08167,                0.04501,                0.01294,                 2.8672,                 3.5736,                 2.7935,              0.0015845,              0.0015845,              0.0015845
                     12,                 2.2836,                  2.658,                 2.1828,                0.57008,                0.17949,                0.06343,                0.01499,                 2.7562,                 4.8293,                 2.7379,              0.0015762,              0.0015762,              0.0015762
                     13,                 2.2395,                 2.5888,                  2.131,                0.08966,                 0.2925,                0.05392,                0.01434,                 2.6888,                 4.3538,                 2.7732,               0.001568,               0.001568,               0.001568
                     14,                 2.2884,                 2.6902,                 2.2037,                0.17136,                0.23029,                0.08155,                0.02174,                 2.7719,                 3.9837,                 2.7607,              0.0015597,              0.0015597,              0.0015597
