                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8155,                 1.8953,                 1.8067,                0.40095,                0.08974,                0.21196,                0.11308,                 2.2957,                 2.4657,                 2.2148,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.8715,                 1.9666,                 1.8205,                0.20831,                0.10256,                0.15879,                0.09317,                 2.3829,                 2.6043,                 2.2593,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.8639,                 1.9612,                 1.8267,                0.12963,                0.08974,                 0.0822,                0.04864,                 2.3188,                 2.6626,                 2.1412,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.8285,                 1.9247,                 1.8177,                0.79412,                0.13438,                0.45444,                0.14429,                 2.3044,                 2.5271,                 2.2703,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7954,                 1.8713,                  1.808,                0.23372,                0.11538,                0.15723,                0.08115,                 2.2886,                 2.4934,                 2.3197,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.7781,                  1.885,                 1.7997,                0.26895,                0.12821,                0.18742,                0.10034,                 2.4125,                 2.4314,                 2.2917,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7772,                 1.8703,                 1.7755,                0.76786,                0.19848,                0.46361,                0.20377,                 2.4925,                 2.6579,                 2.4514,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.7745,                 1.8285,                 1.7805,                0.22581,                0.17949,                0.19204,                 0.0891,                 2.5453,                 2.4248,                 2.4481,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8047,                 1.8535,                 1.8196,                0.21429,                0.11538,                0.15353,                0.07357,                 2.3925,                 2.4059,                 2.3187,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.7715,                 1.8637,                  1.773,                0.89286,                 0.1472,                0.51556,                0.26117,                 2.2814,                 2.2476,                 2.2418,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.7401,                 1.7662,                 1.7291,                0.55625,                 0.1529,                0.32378,                0.11499,                 2.3127,                 2.6322,                 2.2867,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.7412,                 1.7768,                 1.7306,                0.16667,                0.12821,                0.10917,                 0.0531,                 2.4164,                 2.7069,                 2.4296,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.7397,                 1.7544,                 1.7512,                0.22727,                0.12821,                0.15996,                0.08786,                 2.3997,                 2.5788,                 2.2598,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.7012,                 1.7045,                 1.7225,                0.17742,                0.14103,                0.12944,                 0.0638,                 2.4392,                 2.4355,                 2.3398,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.7082,                 1.7464,                 1.7397,                0.53333,                0.10826,                0.30733,                0.14456,                 2.4419,                 2.3818,                 2.3382,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.7097,                 1.7222,                  1.726,                0.77778,                0.13438,                 0.4508,                0.15103,                 2.3987,                 2.3624,                 2.2868,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.6895,                   1.67,                 1.6976,                0.22508,                0.14103,                0.16524,                0.08507,                 2.3668,                 2.3058,                 2.2797,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.6781,                 1.6856,                 1.7067,                  0.375,                0.19231,                0.28738,                0.12204,                 2.3954,                 2.3665,                 2.3162,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.6965,                 1.6711,                 1.7086,                0.63514,                0.14055,                0.36035,                0.18737,                  2.415,                 2.5762,                  2.306,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.6639,                 1.6504,                 1.7039,                0.53333,                0.17854,                0.36569,                0.15681,                 2.4184,                 2.3505,                 2.3521,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.6427,                 1.6627,                 1.6923,                0.71212,                0.19801,                0.48005,                0.16084,                 2.4431,                 2.3035,                 2.4369,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.626,                 1.6102,                  1.672,                0.41667,                0.19801,                0.29807,                0.16331,                 2.4589,                 2.5195,                 2.4377,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.5952,                 1.5775,                 1.6479,                0.67188,                 0.1472,                0.42312,                0.19055,                 2.5498,                 2.3496,                 2.5637,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6284,                 1.5989,                 1.6954,                0.47689,                0.19136,                0.34576,                0.18931,                  2.387,                 2.2055,                 2.3027,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.599,                 1.5837,                 1.6622,                0.22414,                0.16667,                 0.1845,                0.09802,                 2.4166,                 2.3859,                 2.3309,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.6157,                 1.5662,                  1.666,                0.55682,                0.17236,                 0.3648,                0.19115,                 2.4371,                 2.4437,                 2.4017,             0.00070981,             0.00070981,             0.00070981
                     60,                  1.629,                 1.5687,                 1.6704,                0.58416,                0.17806,                0.36622,                0.16124,                 2.3995,                 2.4168,                 2.4068,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.6052,                 1.5496,                 1.6544,                0.74194,                  0.217,                0.49805,                0.19573,                 2.4099,                 2.3765,                 2.4493,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.5635,                 1.5025,                  1.647,                 0.4951,                0.17806,                0.33767,                0.16875,                 2.4518,                  2.449,                 2.4744,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.5707,                 1.4979,                 1.6333,                0.52105,                0.20988,                0.35885,                0.18171,                 2.3873,                 2.2632,                 2.4297,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.5439,                 1.4547,                 1.6044,                0.50833,                0.19183,                0.32004,                0.16933,                 2.3952,                 2.5303,                 2.3832,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.5037,                 1.4278,                  1.579,                0.44196,                0.24169,                0.31184,                0.14687,                 2.4632,                 2.6585,                 2.4384,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.5326,                 1.4302,                 1.6148,                0.59355,                0.22792,                0.39435,                0.21255,                 2.4943,                 2.4089,                  2.464,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.5317,                 1.4406,                 1.5983,                0.47045,                0.22934,                0.28962,                0.13624,                 2.4869,                 2.4973,                  2.503,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.5015,                 1.4382,                 1.5816,                0.40909,                0.21035,                0.29147,                0.14004,                 2.5034,                   2.33,                 2.5011,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.4929,                 1.4057,                 1.5626,                0.44865,                0.17806,                0.31241,                 0.1444,                 2.5362,                 2.3924,                 2.4589,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.5302,                 1.4518,                  1.577,                0.59568,                0.20418,                0.40953,                0.20239,                 2.4374,                 2.3173,                 2.4023,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.4765,                 1.3829,                 1.5511,                0.55105,                0.19706,                 0.3716,                0.17082,                  2.476,                  2.472,                 2.4921,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.4765,                 1.4173,                 1.5665,                0.55714,                0.18471,                0.37949,                0.16582,                 2.4978,                 2.4274,                 2.5914,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.4681,                 1.3604,                 1.5489,                0.51754,                0.21652,                0.34651,                0.15586,                 2.5219,                 2.2955,                  2.545,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.5267,                 1.4619,                 1.6032,                0.51568,                 0.2284,                 0.3504,                  0.185,                  2.492,                 2.2526,                 2.5375,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.4819,                 1.3525,                 1.5417,                0.51284,                0.25973,                0.35481,                0.18595,                 2.4578,                 2.3338,                 2.4681,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.4424,                 1.3133,                 1.5369,                  0.525,                 0.2227,                0.38749,                0.18961,                 2.4798,                 2.2771,                 2.5657,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.4112,                 1.2942,                 1.5097,                0.46591,                0.29202,                0.33727,                 0.1514,                 2.5068,                 2.3776,                 2.5509,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.3991,                 1.2867,                 1.5141,                0.50405,                 0.2094,                0.34984,                0.15701,                 2.4417,                   2.36,                 2.4553,             0.00039625,             0.00039625,             0.00039625
                     79,                  1.434,                 1.2924,                 1.5175,                0.46635,                0.18471,                0.31448,                0.16728,                 2.5025,                 2.4111,                 2.4534,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.4156,                 1.2668,                 1.4867,                0.51222,                0.23609,                0.32303,                0.15069,                 2.4937,                 2.3306,                 2.4772,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.3801,                 1.2144,                 1.4639,                0.46252,                 0.2906,                0.35719,                0.16663,                 2.5336,                 2.3008,                 2.5887,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.3695,                 1.2313,                  1.465,                0.44773,                0.22222,                0.32109,                0.14226,                 2.5146,                 2.4284,                 2.5146,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.4008,                 1.2365,                 1.4861,                0.49595,                0.23409,                 0.3576,                0.16785,                 2.4678,                 2.2427,                 2.4912,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.3728,                 1.2718,                 1.4858,                0.55449,                0.23504,                0.41228,                0.19013,                 2.3792,                  2.298,                 2.4197,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.3202,                 1.1962,                 1.4376,                0.46245,                0.24644,                  0.336,                0.15366,                 2.4624,                 2.2495,                 2.4638,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.3511,                 1.2003,                  1.446,                0.43531,                0.24739,                0.32653,                0.15654,                 2.4429,                 2.3501,                 2.4608,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.3496,                 1.1911,                 1.4555,                0.43577,                0.26638,                0.31711,                0.15151,                 2.4618,                 2.3228,                 2.4644,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.3245,                 1.1714,                 1.4644,                0.50679,                0.26021,                0.35983,                0.17082,                   2.46,                 2.3067,                 2.4706,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.3325,                 1.1831,                 1.4425,                0.43939,                 0.2792,                0.31374,                0.13971,                 2.4837,                  2.296,                 2.5321,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.3581,                 1.2017,                 1.5037,                0.42593,                0.25309,                0.32978,                0.15127,                 2.4572,                 2.3533,                 2.4819,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.3048,                  1.118,                 1.4712,                0.45987,                0.27825,                0.35588,                0.17342,                 2.4159,                 2.2263,                 2.5071,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.3236,                 1.1574,                 1.5042,                0.50085,                0.31671,                0.38272,                0.18534,                 2.4566,                 2.2831,                 2.5186,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.2679,                 1.1058,                 1.4572,                0.47815,                0.29107,                0.35749,                  0.168,                 2.4621,                 2.2569,                 2.5025,              0.0001487,              0.0001487,              0.0001487
