                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9583,                  2.113,                 1.9389,                0.42107,                 0.2284,                0.17286,                 0.0488,                 2.4002,                  3.266,                 2.5088,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.9189,                 2.0433,                 1.9151,                0.28314,                0.32336,                0.21593,                0.06947,                 2.3457,                 2.7427,                 2.4492,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.9136,                 2.0465,                 1.9177,                0.31788,                0.31102,                0.23153,                0.08117,                 2.2861,                 2.6353,                 2.3371,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.8773,                 2.0174,                 1.9061,                0.40656,                 0.3675,                0.32975,                0.11201,                 2.2637,                 2.4506,                 2.3347,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.9023,                 2.0215,                   1.89,                0.31443,                0.31666,                0.18339,                0.05575,                 2.2885,                 2.6442,                 2.2774,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.8399,                 1.9115,                  1.852,                0.35148,                 0.2831,                0.19942,                 0.0652,                 2.3682,                 2.7115,                 2.3128,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.8542,                 1.9881,                 1.8843,                0.28223,                0.33618,                 0.2428,                0.08179,                 2.2551,                 2.6327,                 2.2746,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.8841,                  1.981,                  1.866,                0.37515,                0.26946,                0.24875,                0.08391,                 2.3195,                 2.7908,                 2.3748,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8459,                 1.9258,                 1.8408,                0.30133,                0.38651,                0.22965,                0.07317,                  2.318,                 2.4529,                 2.2896,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.8171,                 1.8985,                 1.8329,                0.37573,                 0.3134,                0.27339,                0.09776,                 2.3105,                 2.7208,                 2.3939,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.7847,                 1.8615,                 1.8122,                0.33361,                0.38699,                0.30608,                0.11475,                 2.2781,                 2.5466,                 2.3696,             0.00095736,             0.00095736,             0.00095736
